room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,property_type,last_modified,latitude,longitude,location
1194628,1418,1268752,Entire home/apt,,Sao Paulo,SAO PAULO,Itaim Bibi,5,5.0,2,1.0,,92.0,,CONTEMPORARY STUDIO LOFT BERRINI,Apartment,2017-07-02 04:22:37.095550,-23.605456,-46.695561,0101000020E6100000C0AF9124085947C0BF2A172AFF9A37C0
18345756,1418,15566016,Entire home/apt,,Sao Paulo,SAO PAULO,Campo Belo,0,0.0,4,2.0,,97.0,,Excellent AP of 2 suites!!!,Apartment,2017-07-02 04:22:35.428455,-23.619982,-46.673242,0101000020E610000096253ACB2C5647C0D21BEE23B79E37C0
14633706,1418,2937078,Entire home/apt,,Sao Paulo,SAO PAULO,Campo Belo,0,0.0,3,1.0,,94.0,,1 drm•1 vg•close to Moema•Airport,Apartment,2017-07-02 04:22:35.425922,-23.613238,-46.671849,0101000020E6100000D76CE525FF5547C019AA622AFD9C37C0
3654137,1418,18485404,Entire home/apt,,Sao Paulo,SAO PAULO,Itaim Bibi,1,0.0,4,2.0,,103.0,,ACEITO PROPOSTA - FLAT- the largest 2 bedroom,Apartment,2017-07-02 04:22:35.418982,-23.585527,-46.675393,0101000020E610000042791F47735647C0CCECF318E59537C0
6974232,1418,36569333,Entire home/apt,,Sao Paulo,SAO PAULO,Itaim Bibi,2,0.0,2,1.0,,94.0,,BRAND NEW APART - BERRINI/BROOKLIN,Apartment,2017-07-02 04:22:35.416340,-23.611924,-46.692541,0101000020E6100000CF11F92EA55847C033A31F0DA79C37C0
6456852,1418,24662986,Entire home/apt,,Sao Paulo,SAO PAULO,Pinheiros,8,5.0,4,2.0,,88.0,,Apto bem localizado na Vl. Madalena,Apartment,2017-07-02 04:22:15.619956,-23.552151,-46.690847,0101000020E610000015C5ABAC6D5847C0257497C4598D37C0
1966819,1418,10159004,Entire home/apt,,Sao Paulo,SAO PAULO,Pinheiros,0,0.0,4,2.0,,100.0,,two bedroom house at Pinheiros mew,House,2017-07-02 04:22:14.273112,-23.563443,-46.696347,0101000020E610000078D503E6215947C0FE28EACC3D9037C0
6256784,1418,32504266,Entire home/apt,,Sao Paulo,SAO PAULO,Jardim Paulista,0,0.0,2,1.0,,91.0,,No coração dos Jardins,Apartment,2017-07-02 04:22:14.259835,-23.562419,-46.667636,0101000020E6100000EED0B018755547C026A60BB1FA8F37C0
2659282,1418,5934133,Entire home/apt,,Sao Paulo,SAO PAULO,Pinheiros,4,5.0,2,1.0,,88.0,,Modern flat near Faria Lima subway,Apartment,2017-07-02 04:22:07.791209,-23.567964,-46.689239,0101000020E61000005A10CAFB385847C02B4EB516669137C0
8538268,1418,5508657,Entire home/apt,,Sao Paulo,SAO PAULO,Jardim Paulista,3,5.0,2,1.0,,84.0,,COZY APARTMENT ***** JARDINS,Apartment,2017-07-02 04:22:06.347354,-23.558,-46.664447,0101000020E610000071766B990C5547C0022B8716D98E37C0
